scenario,mode,epsilon,seed,policy,packet,from,to,window,expected_s,send_s,overshoot_s,malicious_sender
1,low,0.5,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,0.5,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,0.5,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,0.5,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,0.5,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,0.5,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,0.5,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,0.5,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,0.5,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,0.5,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,0.5,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,0.5,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,0.5,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,0.5,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,0.5,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,0.5,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,0.5,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,0.5,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,0.5,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,0.5,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,0.5,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,0.5,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,0.5,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,0.5,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,0.5,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,0.5,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,0.5,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,0.5,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,0.5,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,0.5,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,1.0,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,1.0,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,1.0,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,1.0,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,1.0,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,1.0,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,1.0,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,1.0,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,1.0,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,1.0,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,1.0,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,1.0,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,1.0,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,1.0,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,1.0,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,1.0,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,1.0,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,1.0,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,1.0,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,1.0,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,1.0,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,1.0,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,1.0,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,1.0,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,1.0,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,1.0,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,1.0,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,1.0,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,1.0,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,1.0,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,1.0,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,1.5,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,1.5,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,1.5,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,1.5,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,1.5,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,1.5,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,1.5,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,1.5,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,1.5,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,1.5,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,1.5,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,1.5,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,1.5,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,1.5,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,1.5,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,1.5,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,1.5,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,1.5,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,1.5,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,1.5,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,1.5,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,1.5,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,1.5,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,1.5,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,1.5,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,1.5,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,1.5,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,1.5,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,1.5,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,1.5,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,1.5,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,2.0,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,2.0,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,2.0,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,2.0,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,2.0,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,2.0,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,2.0,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,2.0,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,2.0,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,2.0,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,2.0,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,2.0,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,2.0,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,2.0,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,2.0,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,2.0,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,2.0,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,2.0,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,2.0,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,2.0,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,2.0,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,2.0,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,2.0,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,2.0,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,2.0,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,2.0,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,2.0,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,2.0,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,2.0,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,2.0,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,2.0,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,3.0,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,3.0,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,3.0,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,3.0,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,3.0,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,3.0,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,3.0,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,3.0,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,3.0,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,3.0,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,3.0,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,3.0,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,3.0,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,3.0,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,3.0,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,3.0,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,3.0,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,3.0,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,3.0,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,3.0,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,3.0,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,3.0,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,3.0,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,3.0,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,3.0,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,3.0,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,3.0,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,3.0,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,3.0,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,3.0,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,3.0,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,4.0,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,4.0,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,4.0,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,4.0,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,4.0,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,4.0,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,4.0,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,4.0,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,4.0,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,4.0,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,4.0,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,4.0,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,4.0,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,4.0,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,4.0,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,4.0,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,4.0,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,4.0,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,4.0,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,4.0,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,4.0,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,4.0,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,4.0,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,4.0,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,4.0,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,4.0,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,4.0,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,4.0,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,4.0,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,4.0,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,4.0,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,5.0,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,5.0,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,5.0,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,5.0,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,5.0,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,5.0,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,5.0,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,5.0,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,5.0,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,5.0,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,5.0,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,5.0,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,5.0,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,5.0,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,5.0,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,5.0,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,5.0,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,5.0,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,5.0,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,5.0,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,5.0,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,5.0,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,5.0,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,5.0,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,5.0,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,5.0,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,5.0,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,5.0,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,5.0,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,5.0,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,5.0,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,6.0,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,6.0,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,6.0,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,6.0,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,6.0,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,6.0,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,6.0,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,6.0,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,6.0,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,6.0,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,6.0,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,6.0,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,6.0,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,6.0,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,6.0,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,6.0,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,6.0,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,6.0,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,6.0,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,6.0,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,6.0,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,6.0,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,6.0,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,6.0,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,6.0,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,6.0,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,6.0,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,6.0,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,6.0,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,6.0,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,6.0,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,6.5,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,6.5,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,6.5,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,6.5,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,6.5,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,6.5,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,6.5,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,6.5,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,6.5,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,6.5,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,6.5,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,6.5,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,6.5,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,6.5,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,6.5,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,6.5,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,6.5,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,6.5,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,6.5,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,6.5,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,6.5,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,6.5,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,6.5,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,6.5,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,6.5,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,6.5,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,6.5,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,6.5,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,6.5,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,6.5,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,6.5,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,7.0,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,7.0,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,7.0,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,7.0,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,7.0,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,7.0,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,7.0,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,7.0,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,7.0,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,7.0,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,7.0,40,AODV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,7.0,40,AODV,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,7.0,40,OLSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,7.0,40,OLSR,1001,n6,n10,18,135.000,140.324,5.324,1
1,low,7.0,40,DSR,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,7.0,40,DSR,1001,n6,n5,4,90.000,95.324,5.324,1
1,low,7.0,41,DSDV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,7.0,41,AODV,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,7.0,41,OLSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,7.0,41,OLSR,1001,n10,n14,22,165.000,171.515,6.515,1
1,low,7.0,41,OLSR,1001,n10,n14,22,225.000,230.324,5.324,1
1,low,7.0,41,OLSR,1001,n10,n14,22,285.000,291.372,6.372,1
1,low,7.0,41,DSR,1001,n6,n10,18,75.000,81.372,6.372,1
1,low,7.0,42,DSDV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,7.0,42,AODV,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,7.0,42,OLSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,7.0,42,DSR,1001,n10,n14,22,105.000,110.324,5.324,1
1,low,7.0,44,DSDV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,7.0,44,AODV,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,7.0,44,OLSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,7.0,44,DSR,1001,n10,n14,22,105.000,110.556,5.556,1
1,low,8.0,38,DSDV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,8.0,38,AODV,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,8.0,38,OLSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,8.0,38,DSR,1001,n10,n14,22,105.000,110.002,5.002,1
1,low,8.0,39,DSDV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,8.0,39,AODV,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,8.0,39,OLSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,8.0,39,DSR,1001,n10,n14,22,105.000,111.665,6.665,1
1,low,8.0,40,DSDV,1001,n6,n10,18,75.000,81.515,6.515,1
1,low,8.0,40,DSDV,1001,n6,n5,4,90.000,95.324,5.324,1
