flight,source,onset_kind,t_s,staleness_s,err_m,err_at_onset_m,gamma_cum_m_s,gamma_delta_m_s,gamma_inst_m_s,sats,hdop,noise_per_ms,fix_type,speed_m_s,accel_m_s2
gps_jamming,ekf,3x_noise_p95,184.99,7.9,6.0125,1.4945,0.7613,0.572,0.1414,12,0.78,171,3,0.487,2.636
gps_jamming,ekf,3x_noise_p95,185.09,8.0,5.9047,1.4945,0.7383,0.5514,0.1404,12,0.78,171,3,0.116,7.409
gps_jamming,ekf,3x_noise_p95,185.19,8.1,5.7534,1.4945,0.7105,0.5259,0.1395,12,0.78,171,3,0.228,8.498
gps_jamming,ekf,3x_noise_p95,185.29,8.2,5.6163,1.4945,0.6851,0.5028,0.139,12,0.78,171,3,0.413,6.942
gps_jamming,ekf,3x_noise_p95,185.39,8.3,5.4768,1.4945,0.66,0.4799,0.139,12,0.78,159,3,0.508,0.959
gps_jamming,ekf,3x_noise_p95,185.49,8.4,5.3649,1.4945,0.6388,0.4609,0.136,12,0.78,159,3,0.519,2.599
gps_jamming,ekf,3x_noise_p95,185.59,8.5,5.2833,1.4945,0.6217,0.4459,0.1409,12,0.78,159,3,0.464,7.17
gps_jamming,ekf,3x_noise_p95,185.69,8.6,5.2329,1.4945,0.6086,0.4348,0.139,12,0.78,159,3,0.404,9.051
gps_jamming,ekf,3x_noise_p95,185.79,8.7,5.2196,1.4945,0.6001,0.4283,0.1437,12,0.78,159,3,0.355,10.784
gps_jamming,ekf,3x_noise_p95,185.89,8.8,5.2373,1.4945,0.5953,0.4254,0.1446,12,0.78,159,3,0.51,5.801
gps_jamming,ekf,3x_noise_p95,185.99,8.9,5.2622,1.4945,0.5914,0.4234,0.1445,12,0.78,159,3,0.677,5.378
gps_jamming,ekf,3x_noise_p95,186.09,9.0,5.3131,1.4945,0.5905,0.4244,0.1433,12,0.78,159,3,0.841,8.3
gps_jamming,ekf,3x_noise_p95,186.19,9.1,5.3357,1.4945,0.5865,0.4222,0.1409,12,0.78,159,3,0.922,11.163
gps_jamming,ekf,3x_noise_p95,186.29,9.2,5.3756,1.4945,0.5844,0.422,0.1375,12,0.78,159,3,0.913,6.454
gps_jamming,ekf,3x_noise_p95,186.39,9.3,5.3675,1.4945,0.5773,0.4166,0.1362,12,0.78,160,3,0.833,2.457
gps_jamming,ekf,3x_noise_p95,186.49,9.4,5.3688,1.4945,0.5713,0.4123,0.1283,12,0.78,160,3,0.694,8.948
gps_jamming,ekf,3x_noise_p95,186.59,9.5,5.3142,1.4945,0.5595,0.4022,0.1233,12,0.78,160,3,0.474,6.904
gps_jamming,ekf,3x_noise_p95,186.69,9.6,5.2637,1.4945,0.5484,0.3927,0.1182,12,0.78,160,3,0.217,6.787
gps_jamming,ekf,3x_noise_p95,186.79,9.7,5.1692,1.4945,0.533,0.3789,0.1134,12,0.78,160,3,0.204,5.649
gps_jamming,ekf,3x_noise_p95,186.89,9.8,5.0811,1.4945,0.5186,0.3661,0.1129,12,0.78,160,3,0.405,1.957
gps_jamming,ekf,3x_noise_p95,186.99,9.9,4.9827,1.4945,0.5034,0.3524,0.1044,12,0.78,160,3,0.574,8.679
gps_jamming,ekf,3x_noise_p95,187.09,10.0,4.8996,1.4945,0.4901,0.3406,0.1039,12,0.78,160,3,0.627,4.043
gps_jamming,ekf,3x_noise_p95,187.19,10.1,4.844,1.4945,0.4797,0.3317,0.0964,12,0.78,160,3,0.637,6.321
gps_jamming,ekf,3x_noise_p95,187.29,10.2,4.8106,1.4945,0.4717,0.3252,0.0923,12,0.78,160,3,0.533,4.568
gps_jamming,ekf,3x_noise_p95,187.39,10.3,4.8266,1.4945,0.4687,0.3236,0.0882,12,0.78,170,3,0.405,3.647
gps_jamming,ekf,3x_noise_p95,187.49,10.4,4.8603,1.4945,0.4674,0.3237,0.0842,12,0.78,170,3,0.317,6.382
gps_jamming,ekf,3x_noise_p95,187.59,10.5,4.9662,1.4945,0.4731,0.3307,0.0802,12,0.78,170,3,0.418,7.392
gps_jamming,ekf,3x_noise_p95,187.69,10.6,5.0786,1.4945,0.4792,0.3382,0.0763,12,0.78,170,3,0.554,2.983
gps_jamming,ekf,3x_noise_p95,187.79,10.7,5.2518,1.4945,0.4909,0.3512,0.0768,12,0.78,170,3,0.662,8.981
gps_jamming,ekf,3x_noise_p95,187.89,10.8,5.4067,1.4945,0.5007,0.3623,0.069,12,0.78,170,3,0.727,3.273
gps_jamming,ekf,3x_noise_p95,187.99,10.9,5.5761,1.4945,0.5117,0.3745,0.0698,12,0.78,170,3,0.674,9.696
gps_jamming,ekf,3x_noise_p95,188.09,11.0,5.7033,1.4945,0.5186,0.3827,0.062,12,0.78,170,3,0.566,9.365
gps_jamming,ekf,3x_noise_p95,188.19,11.1,5.8142,1.4945,0.5239,0.3893,0.0586,12,0.78,170,3,0.5,5.276
gps_jamming,ekf,3x_noise_p95,188.29,11.2,5.8886,1.4945,0.5259,0.3924,0.0593,12,0.78,170,3,0.406,8.083
gps_jamming,ekf,3x_noise_p95,188.39,11.3,5.9549,1.4945,0.5271,0.3948,0.0523,12,0.78,159,3,0.362,1.952
gps_jamming,ekf,3x_noise_p95,188.49,11.4,6.0011,1.4945,0.5265,0.3954,0.0529,12,0.78,159,3,0.359,5.31
gps_jamming,ekf,3x_noise_p95,188.59,11.5,6.0545,1.4945,0.5266,0.3966,0.0471,12,0.78,159,3,0.418,4.926
gps_jamming,ekf,3x_noise_p95,188.69,11.6,6.098,1.4945,0.5258,0.3969,0.0475,12,0.78,159,3,0.561,5.195
gps_jamming,ekf,3x_noise_p95,188.79,11.7,6.1656,1.4945,0.5271,0.3993,0.0434,12,0.78,159,3,0.73,6.146
gps_jamming,ekf,3x_noise_p95,188.89,11.8,6.2305,1.4945,0.5281,0.4015,0.0422,12,0.78,159,3,0.86,10.5
gps_jamming,ekf,3x_noise_p95,188.99,11.9,6.3286,1.4945,0.5319,0.4063,0.0431,12,0.78,159,3,1.048,16.245
gps_jamming,ekf,3x_noise_p95,189.1,12.01,6.4349,1.4945,0.5359,0.4115,0.0431,12,0.78,159,3,1.068,4.059
gps_jamming,ekf,3x_noise_p95,189.19,12.1,6.5332,1.4945,0.5401,0.4165,0.0431,12,0.78,159,3,1.061,4.29
gps_jamming,ekf,3x_noise_p95,189.29,12.2,6.6346,1.4945,0.544,0.4214,0.0428,12,0.78,159,3,0.966,11.407
gps_jamming,ekf,3x_noise_p95,189.39,12.3,6.7303,1.4945,0.5473,0.4258,0.0455,12,0.78,148,3,0.853,3.255
gps_jamming,ekf,3x_noise_p95,189.49,12.4,6.8115,1.4945,0.5495,0.4289,0.0462,12,0.78,148,3,0.642,3.16
gps_jamming,ekf,3x_noise_p95,189.59,12.5,6.8749,1.4945,0.5501,0.4305,0.0497,12,0.78,148,3,0.46,10.091
gps_jamming,ekf,3x_noise_p95,189.69,12.6,6.9202,1.4945,0.5494,0.4307,0.0519,12,0.78,148,3,0.319,6.852
gps_jamming,ekf,3x_noise_p95,189.8,12.71,6.9327,1.4945,0.5456,0.428,0.0562,12,0.78,148,3,0.223,6.059
gps_jamming,ekf,3x_noise_p95,189.89,12.8,6.9331,1.4945,0.5418,0.425,0.0562,12,0.78,148,3,0.243,3.314
gps_jamming,ekf,3x_noise_p95,189.99,12.9,6.9169,1.4945,0.5363,0.4204,0.0561,12,0.78,148,3,0.224,10.256
gps_jamming,ekf,3x_noise_p95,190.09,13.0,6.9092,1.4945,0.5316,0.4166,0.0587,12,0.78,148,3,0.267,3.315
gps_jamming,ekf,3x_noise_p95,190.19,13.1,6.9056,1.4945,0.5273,0.4132,0.0568,12,0.78,148,3,0.372,3.789
gps_jamming,ekf,3x_noise_p95,190.29,13.2,6.9236,1.4945,0.5246,0.4114,0.0579,12,0.78,148,3,0.528,7.245
gps_jamming,ekf,3x_noise_p95,190.39,13.3,6.9437,1.4945,0.5222,0.4098,0.0558,14,0.71,147,3,0.674,5.898
gps_jamming,ekf,3x_noise_p95,190.5,13.41,6.9833,1.4945,0.5209,0.4094,0.0485,14,0.71,147,3,0.749,4.842
gps_jamming,ekf,3x_noise_p95,190.59,13.5,6.9979,1.4945,0.5185,0.4078,0.0485,14,0.71,147,3,0.708,10.804
gps_jamming,ekf,3x_noise_p95,190.7,13.61,6.9956,1.4945,0.5141,0.4043,0.0383,14,0.71,147,3,0.48,8.864
gps_jamming,ekf,3x_noise_p95,190.79,13.7,6.9245,1.4945,0.5056,0.3964,0.0383,14,0.71,147,3,0.377,10.131
gps_jamming,ekf,3x_noise_p95,190.89,13.8,6.8379,1.4945,0.4956,0.3873,0.0303,14,0.71,147,3,0.48,5.014
gps_jamming,ekf,3x_noise_p95,190.99,13.9,6.6712,1.4945,0.4801,0.3725,0.0273,14,0.71,147,3,0.619,9.216
gps_jamming,ekf,3x_noise_p95,191.09,14.0,6.5257,1.4945,0.4662,0.3595,0.0217,14,0.71,147,3,0.696,5.487
gps_jamming,ekf,3x_noise_p95,191.19,14.1,6.331,1.4945,0.4491,0.3431,0.0136,14,0.71,147,3,0.755,6.068
gps_jamming,ekf,3x_noise_p95,191.29,14.2,6.1742,1.4945,0.4349,0.3296,0.0106,14,0.71,147,3,0.758,6.589
gps_jamming,ekf,3x_noise_p95,191.4,14.31,5.9954,1.4945,0.4191,0.3146,-0.0014,14,0.71,148,3,0.688,1.505
gps_jamming,ekf,3x_noise_p95,191.49,14.4,5.8919,1.4945,0.4093,0.3055,-0.0014,14,0.71,148,3,0.554,6.942
gps_jamming,ekf,3x_noise_p95,191.59,14.5,5.7947,1.4945,0.3997,0.2966,-0.0117,14,0.71,148,3,0.444,11.696
gps_jamming,ekf,3x_noise_p95,191.69,14.6,5.7524,1.4945,0.3941,0.2917,-0.0155,14,0.71,148,3,0.474,3.787
gps_jamming,ekf,3x_noise_p95,191.79,14.7,5.7199,1.4945,0.3892,0.2875,-0.0281,14,0.71,148,3,0.574,12.334
gps_jamming,ekf,3x_noise_p95,191.9,14.81,5.7303,1.4945,0.387,0.2861,-0.0437,14,0.71,148,3,0.755,2.542
gps_jamming,ekf,3x_noise_p95,191.99,14.9,5.7531,1.4945,0.3862,0.2859,-0.0437,14,0.71,148,3,0.84,2.315
gps_jamming,ekf,3x_noise_p95,192.1,15.01,5.7927,1.4945,0.386,0.2864,-0.0682,14,0.71,148,3,0.626,4.329
gps_jamming,ekf,3x_noise_p95,192.19,15.1,5.7913,1.4945,0.3836,0.2846,-0.0682,14,0.71,148,3,0.481,6.881
gps_jamming,ekf,3x_noise_p95,192.29,15.2,5.771,1.4945,0.3798,0.2814,-0.0873,14,0.71,148,3,0.704,6.166
gps_jamming,ekf,3x_noise_p95,192.39,15.3,5.7367,1.4945,0.375,0.2773,-0.0964,14,0.71,148,3,0.817,4.071
